"","sort(table(cc$values), decreasing = TRUE)"
"MarisaN",2
"MarkBromley",2
"MarkJPenn",2
"MartinElizabethK",2
"MasonisMelindaJ",2
"MathiasStephen",2
"MauldinJimmyR",2
"McCallDawnL",2
"McCarthyDeborahA",2
"McCartneyDaniel",2
"McCartneyDanielJ",2
"McClanahanJulieA",2
"McCulloughDundasC",2
"McGovernBridget",2
"McKeyDavidG",2
"McLaughlinMegT",2
"McMahonCollin",2
"McPartlandSuzanne",2
"MedeirosEvanS",2
"MelanneVerveer",2
"MenghettiAnita",2
"MesquitaMarioM",2
"METPJF",2
"MillerThomasS",2
"misciagno",2
"MitchellGeorgeJ",2
"MitmanMatthias",2
"MitmanMatthiasJ",2
"monicahanleyHanleyMonicaR",2
"MoonPatrickSUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",2
"MoralesJrHectorE",2
"MossMitchellR",2
"MurphyPhilipD",2
"NarainPaulF",2
"NEAARPDL",2
"NEASyriaDL",2
"NevilleColleenC",2
"NEWSWHA",2
"OConnellAndrewM",2
"OetgenJeromeJ",2
"OkedijiAletaT",2
"OlsonPeterM",2
"PAClips",2
"PalmerChristopherG",2
"ParrsWalter",2
"PASpecialAssistants",2
"PatelReena",2
"PecciaJonathanR",2
"PeItonErin",2
"PellaLaura",2
"PerezLea",2
"PeriaLaura",2
"PetersenMicheleL",2
"PlatukisLaurenD",2
"PoItMichaelC",2
"PollackMargaret",2
"PolleyMaryE",2
"PonemanDaniel",2
"PortauPrinceControlRoom",2
"PowellCatherine",2
"preinespVerveer",2
"PressfieldJustinC",2
"ProsserSarahE",2
"psolisdoylE",2
"RandDafnaFraynePhilipA",2
"RaphelRobinL",2
"RayburnDorothyJ",2
"ReedFrankieA",2
"Reinesp@stategov",2
"RibeiroYemofioYvonneY",2
"RiceSusanE",2
"RichterKimB",2
"RickyFine",2
"RobertKagan",2
"RobinsonDavidM",2
"RobinsonStephanieL",2
"RochmanDanielA",2
"RodriguezHugoF",2
"rodriguezme@stategov",2
"rooneym@stategov",2
"RoySpence",2
"russorv@stategov",2
"Russorv@stategovi",2
"RyanAnnM",2
"S_SpecialAssistants@stategov",2
"S_SpedalAssistants",2
"SadoskiNicholasA",2
"samantha_j_powerCurtisMeghannA",2
"SamanthaPower",2
"SatromRob",2
"SCAPress",2
"SchalowKathryn",2
"SchmiererRichardJ",2
"SchouNinaE",2
"SchwerinDB@stategov",2
"SESLineUNGA",2
"SESO_Shlft",2
"SESO_ShlftI",2
"SESO_ShlftIII",2
"SESS",2
"sgrationGrationJonathan",2
"ShieldsDanielL",2
"SiberellJustinH",2
"SiemerMargueriteE",2
"SieversMarc",2
"SimonJennifer",2
"SirbuMaraL",2
"SmithamThomasD",2
"SobelCharlie",2
"SpragueBrenda",2
"SSpecialAssistants",2
"SSRAP_StaffAssistants",2
"StantonKatie",2
"StarrKatherineL",2
"StrassbergerWilliamR",2
"SullivanJacobCatherineRimmer",2
"SullivanJacobmegrooney",2
"SullivanJacobReplyTopreines",2
"SusanMerten",2
"TalwarPuneet",2
"TauscherEllen",2
"tCherylMills",2
"ThomasGreenfieldLinda",2
"ThomasKatya",2
"ThompsonDeanR",2
"ThurstonMichaelE",2
"TillemannTomicahS",2
"toivnf@stategov",2
"TovNF@stategovi",2
"TraubHerbertS",2
"TurnerGillianH",2
"TurnerKatherine",2
"USArmyenlistedandofficerswheneverIsawthem",2
"VadenAndrewJ",2
"Valmoroll@stategov",2
"ValmoroLonai",2
"VasquezEdgar",2
"VerveerMelanne",2
"WaxmanSharonL",2
"wburnsBurnswj@stategov",2
"WeilLynneA",2
"WhelanMoira",2
"WikiLeaksWG",2
"WolfeDavidC",2
"WolffAlexD",2
"WongYvetteM",2
"woodardew@stategov",2
"WoodardEW@stategov",2
"WoosterHenryT",2
"WoytovechSuzanneM",2
"YehlAshleyC",2
"YoungPhilipX",2
"_S_$peciaIAssistants",1
"#",1
"#whsf#whsr",1
"#whsr",1
"%strideSullivanJacob",1
"AbechnHuma",1
"Abedinhi@stategoV",1
"AbedinHurtle",1
"AbedlnHuma",1
"AbellIda",1
"AbetlinHuma",1
"acob_jJew",1
"acob_jlew",1
"acobj_lew",1
"acobJew",1
"AdamBarratti_DidierLEBRET",1
"AdamsDavidSJustaquickupdateonourwaiverissueUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"adlerce@stategov",1
"AdlerClayK",1
"akesullivan",1
"akesullivari",1
"AkuettehCynthiaH",1
"AlexandreCarl",1
"AlexisBataillon",1
"AllegroneKathleenH",1
"AlysonMcColl",1
"AmendKurtE",1
"AndersonBrooke",1
"AndersonGeralciC",1
"AndersonKernC",1
"AndreLarryE",1
"AndrewJNathan",1
"AndrewNathan",1
"AngelaGoodchild",1
"AngelaGoodchildHenrietteKolb",1
"AngelUrena",1
"AnneDelaney",1
"AnneDelaneydandelaneyHaleyEbeling",1
"arivero",1
"ArztJoAnne",1
"AsadaMatthew",1
"AshNazanin",1
"Astindougllaurahannahischlichtei__",1
"AttachmentsSOkadacallsheetdocOscarthisisfinalcallsheetforFMOkadaCallisconfirmedforamAlsofaxingUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"AttkissonPatricia",1
"AvendasoraDeidraD",1
"BaderJeffreyARusselDanielRCormackMaureenE",1
"BagleyElizabethF",1
"BakerHoIIIC",1
"BakerJoshuaN",1
"BalderstonKrisMUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"BallardEricaL",1
"BarksRudalesEricaJ",1
"BartePeterR",1
"BartonPaula",1
"BartonPaulaJ",1
"BartonRick",1
"BassJohnRKennedyPatrickFReinesohilippe",1
"BastienbelleElizabeth",1
"BastienJoeIleEllzabeth",1
"BastienloelleElizabeth",1
"BastlenJoeIleElizabeth",1
"BeairdRichardC",1
"BeliveauEmmettCrutchfieldDanielleMRhodesBenjamin",1
"BenesKeith",1
"BenjaminDanielS",1
"BenjaminJoffeWalt",1
"BergerSamuelR",1
"BergerSamuelRHRCIwasntsatisfiedbymyanswertoyourquestionabouthowtogainleverageoverthePakistanistomovethemtomoreaggressivelypursueAQIvethoughtaboutitsomemoreandwhileIhavenosilverbulletherearesomefurtherthoughtsMyimpressionisthatthePakistanishavebeenmorecooperativelatelyinassistingustargetsomeAQinPakistanandthatwheretheyholdbackitislessafunctionofaffinitytowardAQandmoreaboutwithwhomAQisimbeddedInparticulartheyseemtobemorereluctanttotargetAQwhereitisnestledwithgroupstheywanttocultivateintheeventweleaveAfghanistanandtheyneedinfluencethereTheyhaveseenthatbeforeandwillhedgetheirbetsSothefirstpointisthatwehavetoaddressthereasonwhytheyareholdingbackIfwecandisabusethemoftheperceptionthatweareleavingAfghanistanitwillbeeasiertogetthePakistanistogoafterAQinsanctuariesprovidedbygroupswhichwouldbepartofafutureAfghanistandominatedbytheTalibanSecondIbelievethatcoercivemeasuresaremorelikelytobeeffectiveiftheyaretargetedagainstmilitaryleaderswhogivesupporttoAQanditsalliesAssumingwehaveadequateintelligencewecangoafterbankaccountstravelandotherreachableassetsofindividualPakistaniofficersraisingthestakesforthosesupportingthemilitantswithoutcreatinganinordinatebacklashBluntermeasuresofcoercionlikeconditioningourassistancearemorelikelytobecounterproductiveGiventhelevelofdistrustforusamongthePakistanipeopletheywouldseethisasanothersharpswingoftheUSpendulumwhichwouldhardentheirattitudesandmakegreatercooperationverydifficultforthePakistanipeopletoacceptTheremaybegreaterleverageingivingthePakistanisincentivestobemoreaggressiveOfcoursethemilitaryscalculationismostimportantImnotsurewhatisontheirshoppinglistthesedaysbutwewouldneedtobalancewhatwouldmovetheneedleonAQagainstundercuttingourefforttogetthemtoshifttheirstrategicfocusawayfromIndiaAtthesametimewecanbeasforwardleaningaspossibleinsupportoftheircounterinsurgencycapabilitiesIftheyfinallytakethatstepwecandoallthatispossibletodemonstratethatourarrowsarealignedwiththeirsOntheciviliansidetheirdesireforgreatercontroloverhowKerryLugarmoneycanbeusedcanbeplayedtoourstrategicadvantageIfwegivethemagreatersensethattheyaredirectingtheuseofthesefundswithoutgreatlyundercuttingtheireffectivenessitstrengthensourpositiontopressthemonAQFinallythereisthedefiningrelationshipwithIndiaAretheremeasuresthattheIndianscouldtakethatwouldreducePakistanianxietiesabouttheIndianfrontandthusbetterenablethemtofocusonthreatstotheEastincludingbothAQandantiIndianmilitantgroupslikeLET?ArethereconfidenceUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"BerryJohnF",1
"betsyebelingCHAbedin@hillaryclintoncom",1
"betsyebelingCHAbedinhillarvclintoncom",1
"BettsTimothy",1
"BistranskyWilliam",1
"BistranslohWilliam",1
"BlairONK",1
"BlakeStephenJ",1
"BlameDonaldA",1
"BlauRobert",1
"BlinkenAntonyJ",1
"BlomeDonaldA",1
"bLuckeLewis",1
"BofillMarijuLUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"BoludaGladys",1
"BomnnerAshleyF",1
"BorodinSara",1
"BothAnitaL",1
"BottiAnitaL",1
"bowensq",1
"BrackenMaryS",1
"Bradley",1
"BrandsWilliamR",1
"BrennanJohn",1
"BrennanJohnB",1
"BrewerCecilyG",1
"BridgedJonesSundaaA",1
"BrigetyReuen",1
"BrooksWaldoW",1
"BrowningSteveA",1
"BrownJessicaA",1
"BrownNatalieE",1
"BrownToddJ",1
"BrudvigLeeA",1
"BrunoLennarquis",1
"BrushJenniferL",1
"BStrideiYamamotoDonaldY",1
"bstrider",1
"BuhlCindPhilbinChristopher",1
"BuhlCindyUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"BulgrinJulieKUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"BurnettAndrewB",1
"Burnsstride",1
"BurnsStrider",1
"Burnsstriderl",1
"BurnsWilliam_I",1
"BurnsWilliamWellsAliceG",1
"BurtonWadeW",1
"ByrnesRobertS",1
"CadeLisaM",1
"CainEmilyE",1
"CaitlinKleyorick",1
"CameronAndreaM",1
"CampbellToddA",1
"CantrellPaulM",1
"CAOCSDutyPrincipals",1
"capriciamarshall",1
"capriciamarshalli",1
"capriciamarshalrcapriciamarshall",1
"CarlYoderSamanthaAECPODistribution",1
"CarolineAdlerCherylMills",1
"CarolineConnolly",1
"CarpenterJonathanJ",1
"CarrawayCassandraB",1
"CaryJeffrey",1
"CassayreMark",1
"CassidyJoseph",1
"CassillyRobertG",1
"CastonguayStephaneM",1
"CatalanoElise",1
"CATaskforce",1
"cconnorslaldySullivanJacob",1
"CDMMaggieWilliams",1
"CekutaRobertF",1
"cganssleyPearsonOtis",1
"ChangMin",1
"CharbonnetLaurentD",1
"ChengDennisW",1
"CherylCherylMills",1
"CherylD",1
"cherylmill!",1
"cherylmillcherylmill",1
"cherylmillcherylmillpVerveerl",1
"cherylmillCherylMillspvervee",1
"cherylmillDearPhilJimandRichardFirstHappyThanksgiving!IammakingFMcallsreAfghanistanwhicharegoingwellandthememconswilldescribethespecificresponsesforourfollowupespeciallyinAthensandBrusselsBelowisamemofromaconcernedobserverabouttheBritishfeelingalienatedfromus/LetmeknowwhatyoueachthinkThxConsensusacrosstheboardinBritain—centerrightleft—isthattheAtlanticalliance—thespecialrelationship—thehistoricbondsinceWorldWarII—isshatteredThereisnodissentingvoicenotoneandtherearenoillusionsOpinionisunanimousThebottomlineisthattheObamaadministrationsdenigrationoftheUKisseenasthesummationoftheBusheraUndoubtedlyyousawthisweekMinisterofDefenseBobAinsworthspubliccriticismofObamasindecisionandhisaccusationthatthepresidentisindifferentanddamagingtoBritishinterestWhileDowningStreetsoughttoamelioratehisremarkswithanoleaginousstatementhisviewissimplywhateveryone—everyone—thinksHisclumsyoutburstwasaclassicgaffe—anembarrassingmistakebecauseitrevealssomethingtrueTheChilcotinquiryofParliamentpubliclyconductinghearingsontheoriginsofUKinvolvementintheIraqinvasionhasputBushswaronterror—andBritishinvolvement—ontrial—andthecalmlyconductedbutevisceratinghearingswillgoonforanotheryearBlairisseenaseithercomplicitonthebasisofknowingtherewasnocasusbelliorasanenthusiasticallydeceivedtoolNickCleggleaderoftheLiberalDemocratshasstatedthatthereasonsupportfortheAfghanistanmissionhascrateredisbecauseoftheliestoldintherunuptotheIraqwar—anotherviewuniversallyheldMeanwhileformerUKambassadortotheUSChristopherMeyerhaspublishedhisnewbookonthehistoryofUKdiplomacywithconcludingsectionsonthedemiseofthespecialrelationshipHeisnotonlybeinginterviewedonallBritishmediabutalsohasappearedasavolublewitnessbeforetheChi!cotcommissionAllBritishnewspapersandjournalshaveprominentlypublishedmanypieceswithinthelastweekonthedeclineandfalloftheUSUKrelationshipPleaseseetheleadeditorialtodayfromtheLondonTimesandthecoverstoryfromtheSpectator—twoofthemostresolutelyproAmericansourcesThetoneisnotresentfulbutreserveddisdainfulandsuperiorTheUSadministrationisconsideredblinkeredparochialandcounterproductiveConservativesaremorecontemptuousthanLabourwhichfeelsabandonedandsomewhatbaffledRatherthaneagertobeObamaspoodleCameronwouldbesuperficiallyfriendlyandprivatelyscornfulClasshasalottodowiththecontemptACamerongovernmentwouldbemorearistocraticandevennarrowlyEtonianthananyConservativegovernmentinrecenthistorysharplycontrastingespeciallywiththestrivingandclasslessperspectiveofthegrocersdaughterMargaretThatcherAndyetthemostrecentpollthisweekshowedLabourwithinstrikingdistanceoftheToriesaboutfivepointsdowntheresultofaslighteconomicuptickAhungparliamentseemsverypossibleGiventhedistributionofvotingpatternsLabourneednotwinapluralitytohavemoreseatsthantheToriesUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"cherylmillpVerveer",1
"Cherylmills",1
"CherylMills_",1
"CherylMills@SteinbergJB@stategov",1
"CherylMillscherylmill",1
"CherylMillsDanFeldman",1
"CherylMillsJustinCooper",1
"CherylMillspverveei",1
"CherylMillspVerveerl",1
"CherylMillspverveet",1
"CherylMillsq",1
"CherylMillsstretchingintothisdecadetheStateDepartmentaswellascrediblehumanrightsorganizationsreportednumerouscasesofrapeandsexualviolenceinSriLankaparticularlyactscommittedagainstwomenheldindetentionbythegovernmentThiswasthebasisfortheSecretarysstatementAtthesametimeinthemostrecentphaseoftheconflictfromtothoughweremaineddeeplyconcernedaboutreportsofextrajudicialkillingsdisappearancesandmistreatmentofdetaineeswehavenotreceivedreportsthatrapeandsexualabusewereusedastoolsofwarastheyclearlyhaveinotherconflictareasaroundtheworldWehopethatthisclarificationputstheissueinitspropercontextThesequestionsshouldnotdetractfromthespecificactionsthatSriLankaneedstotakenowWiththeendofthemilitaryconflictSecretaryClintonbelievesstronglythatSriLankamustfocustothefutureandmoveforwardonthepromotionofpeaceandtheprotectionofhumanrightsThegovernmentofSriLankashouldreleasemorethandisplacedpersonswhoarestillconfinedincampsandleadaprocessofgenuinepoliticalandsocialreconciliationTheUnitedStatesstandsreadytoassistandsupportthepeopleofSriLankawiththesecriticalchallengesOriginalMessage",1
"CherylMillsSubjeCtReForeignAffairsDraftThxprintingnow",1
"CherylMillsTeleprompterisonstagesowhycantweuse?UNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"cherylmillSullivanJacob",1
"CherylMillsUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"CherylMillswilliamsbarret",1
"ChesleyMerritt",1
"CholletDerek",1
"Christina_Tche_ni",1
"Christina_TchenacobsJaniceL",1
"Christina_TchencIJacobsJaniceL",1
"Christina_Tcher",1
"Christina_TcherJacobsJaniceL",1
"Christina_TcherkJacobsJaniceL",1
"Christina_TcherqlJacobsJaniceL",1
"ChristinaTchen",1
"christinefalvo",1
"ChueJason",1
"cindiwatsorPhillipsLucianne",1
"cklevorick",1
"ClaireL",1
"ClayNoelC",1
"clIbbc",1
"CluneDanielA",1
"CMSTaskForceLMediaMonitor",1
"CohenJaredA",1
"Coleman",1
"ColemanClaireI",1
"COM",1
"ComfortiPaulA",1
"CookAkunnaEUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"CookstovesTeamCore",1
"CostJeremyE",1
"CowartMarthenaS",1
"CraigTheodore",1
"CravenMarianneX",1
"CrockerRyanC",1
"CrowleyPhiiipJ",1
"CulverChris",1
"CummingsReneeM",1
"CurbsMeghannA",1
"CutronaAimee",1
"cwheatleycganssleyPearsOnOtis",1
"CynthiaWatson",1
"CypherBurleyTriciaB",1
"DaalderH@stategov",1
"DaalderNoH",1
"DamourMarieC",1
"DanCotter",1
"dandelaney",1
"Daniel_A_RestrepcLindwallDavidE",1
"Daniel_B_Shapiro",1
"DanielJJ@stategoli",1
"danieljj@stategov",1
"DavidYoung",1
"DavisJasonL",1
"DavisRichardA",1
"dbanc",1
"dchend",1
"DeanerNicoleA",1
"DeanNicholas",1
"DeBaereJudesE",1
"declankelly",1
"DeHartrtJamesP",1
"delaIglesiaMark",1
"delaIglesiaMarkJ",1
"DelaurentisJeffreyA",1
"DeniseChartrand",1
"DennyBlair",1
"DerekMitchell",1
"DereticZoja",1
"DeutschRobertS",1
"DianeandDaveWeiszYoung",1
"DianeShear",1
"DianeShearBlackJoshua",1
"DiazCarlos",1
"dIbbcg@dlbbcg",1
"DibbleElizabeth",1
"DibbleElizabethI",1
"DiCarloRosemaryA",1
"DickersonElizabethB",1
"dickgephard",1
"dickgephardt",1
"DickmeyerJamesC",1
"DicksonJohnS",1
"DillAlyzzaA",1
"DiMartInoKitty",1
"DingerJohnR",1
"dlbbcgIdIbbcgCherylMills",1
"DNEADutyOfficer",1
"DoddsRebeccaE",1
"DonahueDavidT",1
"DonovanPatrickD",1
"DoughertyThomas",1
"DRLFODL",1
"DruckerJoyE",1
"DSCC—Management_Team",1
"dshapiro",1
"DSIPNEA",1
"DuBordDamonA",1
"DubSoniaS",1
"DuncanShawnH",1
"DwyerStuartA",1
"E_CMS",1
"EAPKDPRKUNITDL",1
"ebahnserHanleyMonicaR",1
"ECA_PE_C_PY",1
"EichensehrKristenE",1
"elehill",1
"Elizabeth_D_SherwoodRandallHartleyBrentR",1
"EmmanuelFaber",1
"EngeikenStephenC",1
"EnsherHenryS",1
"ErinCochran",1
"ES_",1
"ES_ftIII",1
"EscrogirnaAnaA",1
"esherwoodrandallSullivanJacob",1
"ESSWOnly",1
"eSullivanJacob",1
"eSullivanJacobi",1
"EURPress",1
"EURRPMUbya",1
"EURSETUDL",1
"EURWEItalyDL",1
"Evergreen",1
"EversmanSarahM",1
"EversnnanSarahM",1
"EyeStefanieB",1
"Faithdav",1
"FallonRobertMD",1
"FangBay",1
"FatemaSumar",1
"FatherKarloutsos",1
"FedorMarkCDR",1
"FeeleyJohnDresultinginthedeathoftwobodyguardsAninvestigationiscontinuingintothedetailsbutourunderstandingatthispointisthatitwasanattemptedkidnappingtargetingtherelativesofalocalbusinessexecutiveWhileitdoesnotappearthatUSfamiliesweretargetedthesharpincreaseinkidnappingincidentsintheMonterreyareaandthiseventinparticularpresentaveryhighrisktothefamiliesofUScitizenswhomightbebecomeincidentalvictimsUSsecurityandlawenforcementpersonnelhaveengagedlocalandfederalsecurityofficialstoseektheirhelponunderstandingtheimmediaterisksandmeasuresthatcanbetakenIhaveurgedUSfamiliesattheConsulateinUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"FeItmanJeffreyD",1
"FeldmannDavidS",1
"FeltonErin",1
"FeltrnanJeffrey",1
"FeltrnanJeffreyD",1
"FernandezKatherineBerglundUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"firjr",1
"FischerPatrick",1
"FiskTelchiMaryF",1
"ForinoNiniJ",1
"FrAle",1
"FrenchMichaelJ",1
"FreseLaurenK",1
"gailfritzinger",1
"GallegoEnriqueR",1
"GallikerAndrew",1
"GaoYan",1
"GardnerRebeccaV",1
"GardnerUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"GarryConilleJordanRyan",1
"GarryConilleJordanRyanCherylMills",1
"Gary_S_SamoreGeorge_WlookAnita_E_FriedtTimbieJamesP",1
"GatzKarenL",1
"GaudiosiEricV",1
"GearySusanA",1
"GembickiTimothyJ",1
"georgemitchell@stateov",1
"gerardriley@MarranoMarkF",1
"gerarrileMarranoMarkF",1
"GermainEllen",1
"GibbsRobertLVietorTommy",1
"GideonBreslen_lindsayappleby",1
"GideonBreslerlindsayappleb",1
"GipsDonald",1
"GlihaRyanM",1
"GlucksmannSusanaM",1
"GoldbergRX@stategov",1
"GoldwynDavidL",1
"GonzalezJuanSUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"GoodmanMaryBeth",1
"GorelickJamie",1
"GotohKayE",1
"GottemoellerRoseE",1
"GovashiriFerial",1
"GrahamCollierF",1
"GrangerNikolasE",1
"GrantWilliamK",1
"GrationJonathanS",1
"GregoryAdams",1
"gudgeon",1
"gudgeonSatterfield",1
"gudgeonSatterfieldgerardMarranoMarkF",1
"gudgeonSatterfieldigerardrileMarranoMarkF",1
"gudgeoSatterfield",1
"H_CodelTravel",1
"HAbedir",1
"Hagar_H_Hajjar",1
"HaimSaban",1
"HainesAvril",1
"HaitiElectionif",1
"HaleyCynthiaA",1
"HaleyEbeling",1
"HallDavidW",1
"HallettStephanieL",1
"HammerMichaelAChangBenjamin",1
"HanleyMonicaRMSTheplenarywilllikelygountilpmWeshouldplantodepartfortheairportatthattimeitisaminutedrivetotheairportTheplaneisonscheduleforpmwheelsupUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HannahRichert",1
"HaqNayyera",1
"HarkenriderZachary",1
"HarrisAndrewR",1
"HarrisJenniferM",1
"HatcherStuartM",1
"HAttachmentsKouchnerCallSheetdocOscarthisiscallsheetforFMKouchnerCallisNOTconfirmedyetbutmightbetomorrowmorningIamalsofaxingthisUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HAttachmentsPointsfordoaOscarcanyoupisprintthiscallsheetforhrcItsforanothercallthatwilllikelyhappentodaythanksUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HayesJeffW",1
"hdr@clintonemailcomi",1
"hdr@clintonemailcorn`",1
"heathersamuelsonLauraPena",1
"HeffemJohnA",1
"HelfetUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HeltonFloydKathleenL",1
"HengelDouglasC",1
"HennesseyNilandJohnT",1
"HenrietteKolb",1
"henripaulnormandinIgorKipman",1
"HenriPaulNormandlnikipmanLutFabertGoossensctjgrandersOr",1
"HenshawSimon",1
"Herro_K_Mustaf",1
"herylmilk_",1
"Hi!getNicholasJ",1
"HibbertSlmpsonLisaM",1
"HillJohn",1
"HillPatriciaA",1
"HiltonRobertB",1
"HMitchelltryingtoreachhrconsecurephoneonrdfloorUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HochsteinAmos",1
"HodgesCarolynC",1
"HodgsonGeorgeW",1
"HoeyColleenA",1
"HohChristopherI",1
"HoltVictoriaK",1
"HolzerHollyC",1
"HowardJeremiahJerry",1
"HowardJulie",1
"HoylePeggyA",1
"HuangCindyV",1
"HudsonCameronC",1
"HuizingaToddM",1
"Hum@Abedin",1
"huma@clintonemailcomehunna@clintonemallcom",1
"huma@clintortemailcom",1
"HumaAbedIn",1
"HumaAbedin//",1
"HumaAbedin`",1
"HumaAbedinH",1
"HumaAbedinHappytochatatyourconvenienceUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HumaAbedinLibyaTalkingPointsforPrincipalsUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HumaAbedinMSIwillbesendingyouarevisedtomorrowshortlywiththeHadley/BergerbriefingscheduledforpmimmediatelyaftertheSmallGroupinDonilonsofficeThankyouLonaUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HumaAbedinnUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HumaAbedinReminderaftertheinterviewbeforeyouleavethesuiteifpossibleUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HumaAbedinSUbjectTHANKYOUUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HumaAbedinToivNoraF",1
"HumaAedin",1
"HumAbedin",1
"HumaCameron",1
"HUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"HunterRobert",1
"HurlbutBrandonK",1
"hurna@clintonemailcorn`",1
"hurna@clintonemailycom",1
"HushekThomas",1
"HylandJasonP",1
"IcconnoilljaldYSullivanJacob",1
"IcconnorjSullivanJacob",1
"Icherylmill",1
"icherylmillpVerveer",1
"iCherylMillsl",1
"IchordRobertF",1
"ichristinefalvo",1
"IFrontOfficeusersDL",1
"IgeorgeWallesJacob",1
"IHAbedin",1
"ihanleymr@stategoV",1
"ihanleymr@stategovi",1
"ihuma@clintonemailcomi",1
"IJacob_h_lew",1
"IJacobj_lew",1
"IJilotyLaurenCi",1
"ILaszczychj@stategovt",1
"ilaurenjiloty",1
"IlksonJessie",1
"ImeldaPanguito",1
"IMillsCD@stategove",1
"imisclagno",1
"ImmigrationCoreList",1
"imsteenburg",1
"Imuscatine_SullivanJacob",1
"ImuscatineSuIIivanJJ@stategov",1
"ImuscatineSullivanJacob",1
"ImuscatinESullivaral@stategov",1
"ineaduty@stategovi",1
"InfanzonJames",1
"INRSTAFFER",1
"IOSanctionsDL",1
"IrfanSaeedJennPresswallaJanellePerezjuliefernandesMonicaRamire",1
"IrfanSaeedJennyPresswallaJanellePerezjuliefernandesMonicaRamirez",1
"irrussony___",1
"isamantha_Lpower",1
"isamantha_LpowerSchwartzEricP",1
"ISullivanJacobi",1
"ISullivanJacobl",1
"ISullivanJacoblUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"Isulliyanjj@stategov",1
"itkrinvic",1
"IvalmorcHumaAbedin",1
"IvalmorcSullivanJacob",1
"Izimmerebneroscar",1
"JacksonGina",1
"Jacob_b_lewJacobj_lew",1
"Jacob_j_IeW",1
"Jacob_jleW",1
"Jacob_lew",1
"JacobCherylMills",1
"JacobIlewLaszczychJoanne",1
"Jacobj_le%",1
"Jacobj_le■",1
"Jacobjle",1
"Jacobjlev■",1
"JacobjleW",1
"Jacoblew",1
"JacobsJaniceI",1
"JacobsMorrisE",1
"JacobsonDavid",1
"JacobsSusanS",1
"JacobSuliivan",1
"JakabPeterCrouchTom",1
"JakabPeterCroucTom",1
"jakesUllivanCherylMills",1
"JBrownSullivanJacob",1
"Jeffrey_A_Bader",1
"JesterChristopherP",1
"jilotyLaurenC",1
"JilotylC@stategov",1
"JilotyLC@stategoV",1
"jlichtman",1
"JoanneCarter",1
"Johnjones@schumersenategov",1
"JohnMichaelArnold",1
"johnsexton",1
"JohnsonDannStarkePetra",1
"JohnsonDarin",1
"JohnsonDavidT",1
"JohnsonMichelleL",1
"Jondoug",1
"JonesK@stategov",1
"jonespw@stategov",1
"jonrdavidson",1
"JoyceSeanM",1
"JoyceSeanMHainesAvrilBrennanJohnCanegalloKristieA",1
"JudyLichtman",1
"JudyOwen",1
"JulianaGendelman",1
"JungThomasT",1
"justin",1
"jzimmerebnerloscarcwheatley",1
"KabulEXECCDDEA",1
"KahnCarolR",1
"KaidanowTunaS",1
"KaplanJonathanE",1
"KaplanSidL",1
"karamcdonaldReynosoJulissa",1
"KatrinePritchard",1
"KatzDavidJ",1
"KaziPamelaR",1
"KearnsMichaelJ",1
"KeeganDavid",1
"KeeneDebraS",1
"KeeneMattE",1
"KelleyJohnC",1
"KellylanC",1
"KellyThomasP",1
"KenneayuavidJR",1
"KennethLieberthal",1
"KhannaMelanie",1
"KidwellMichaelR",1
"KifayatAdnan",1
"KimbrellRebecca",1
"KincannonJohn",1
"KingRobertR",1
"KirshnerJoshH",1
"KizerKarinL",1
"KlemmHansG",1
"KleyorickCaitlin",1
"KnightStephenB",1
"KnopfPaytonL",1
