"","sort(table(cc$values), decreasing = TRUE)"
"RangaswamyRoopa",11
"ReedJuliaG",11
"RooneyMatthewM",11
"SingerTheodore",11
"VajdaThomasL",11
"WalkeSusanF",11
"AndersonBrookeD",10
"BarksRugglesEricaJ",10
"BellegardeDanielP",10
"BischoffJamesL",10
"BitterRena",10
"BreeseTerryA",10
"cherylmill",10
"Christina_Tchen",10
"CodispotiAaronM",10
"CueLourdesC",10
"DaviesGlynT",10
"ECPODistribution",10
"HickeyMatthewB",10
"HoaglandRichardE",10
"HumaAbedinUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",10
"MarshallCapriciaP",10
"MayhewSarahJane",10
"MeronDavidM",10
"MillsCheryl",10
"NulandVictoria",10
"PriceCarolineL",10
"RossAlec",10
"RuppAbigailM",10
"SchrepelDawnM",10
"SESSWO",10
"ShahRajiv",10
"ShannonThomasA",10
"BanksDana",9
"BennettVirginiaL",9
"BrownJeffersonT",9
"CookNerissaJ",9
"DianeReynolds",9
"DunnDavidB",9
"GENEVASMARTS",9
"GoosbyEric",9
"HolmesDavidA",9
"KennaCorley",9
"KirbyMichaelD",9
"KofmehlScott",9
"lakesullivan",9
"LavyBrendanL",9
"LempertYael",9
"LlorensHugo",9
"LONDONSMARTS",9
"LouisPierreA",9
"MADRIDSMARTS",9
"McMullenChristopher",9
"MellottJoseph",9
"NoyesJulietaValls",9
"PARISSMARTS",9
"PenaLaura",9
"PletukhinaInna",9
"PoppWilliamW",9
"RhodesBenjaminJ",9
"ROMESMARTS",9
"RooneyMegan",9
"SeidenMayaD",9
"ShahPreetiV",9
"SmithJeannemarieE",9
"USEUSMARTS",9
"USUNSMARTS",9
"BeranSarah",8
"BisdeeSharonC",8
"BoeseWade",8
"ClevelandSarahH",8
"GentonThomasR",8
"GoshkoMattE",8
"GranthamChrisW",8
"HAbedin",8
"IrwinMatthewT",8
"KabulPress",8
"KeithJamesR",8
"KujawinskiPeterI",8
"lakesullivar",8
"MacWattersMichaelE",8
"ManaguaPOL",8
"MarchantChristianM",8
"McKeanMargaretB",8
"McLeanLoriA",8
"MoncriefBenjamin",8
"MunterCameronP",8
"MurphyErinL",8
"OlsonMichaelJ",8
"PatelNiravS",8
"PowersRoberto",8
"RanaGautamA",8
"RusselDanielR",8
"RussellDanielA",8
"SacharAlon",8
"SESO_ShiftH",8
"SESShiftI",8
"ShepherdNadiaC",8
"SpectorPhillipM",8
"TchenTina",8
"TonerMarkC",8
"WayneEAnthony",8
"AdamsDavid",7
"BitterMelissaUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",7
"BolandPatrickT",7
"ButenisPatriciaA",7
"CampbellPiperA",7
"CherylMillspVerveer",7
"DiCiccoJohnA",7
"DjerassiAlexanderM",7
"DougBand",7
"DuguidGordonK",7
"EAPFOOfficeDL",7
"EAPPOfficeDL",7
"FaillaceKarlygashB",7
"FooteDanielL",7
"FuchsMH@stategov",7
"GelberEthanM",7
"GoldbergerThomasH",7
"GrazeDeborahE",7
"GrossmanMarcI",7
"GuimondGabrielle",7
"HofFredericC",7
"LangStephanA",7
"LewJack",7
"NulandVictoriaJ",7
"OhtagakiJohna",7
"PasiGeeta",7
"PNEADuty",7
"RankDavidH",7
"RosenbergerLauraM",7
"SheaPeterT",7
"SokolskyRichardD",7
"TaskForce",7
"WilliamsStacyD",7
"AlvaradoRebeccaB",6
"BelmopanSMARTS",6
"BendaSusan",6
"BERLINSMARTS",6
"BernierTothMichelle",6
"BlairOniK",6
"BondyStevenC",6
"BUENOSAIRESSMARTS",6
"CairoConsularAmericans",6
"CARACASSMARTS",6
"CherylMillsCherylMills",6
"ConvardNancyS",6
"CrouchTom",6
"DejbanDonnaD",6
"DowdKatieW",6
"EastKyleD",6
"EchardJohnEJr",6
"FarnsworthSarahW",6
"GerhardsonTimothyE",6
"GrandfieldMaryE",6
"GUATEMALASMARTS",6
"HarrisRobertK",6
"HAVANASMARTS",6
"HillmeyerJohn",6
"HurtadoAntoinetteC",6
"JakabPeter",6
"JohnsonCliftonM",6
"JustinCooper",6
"KINGSTONSMARTS",6
"KurtzPhelanDaniel",6
"MontgomeryMollyC",6
"MoodyKathleen",6
"MooreAnneMarie",6
"NambaNicholas",6
"NassauSMARTS",6
"NepalRohitS",6
"NEWSSCA",6
"OConnorEileen",6
"OTTAWASMARTS",6
"P",6
"PARAMARIBOSMARTS",6
"PattersonAnneW",6
"PinedaSamuelL",6
"PittmanHDean",6
"PortauPrinceSMARTS",6
"PortofSpainSMARTS",6
"QuanrudPamelaG",6
"reinesp@stategov",6
"RyuRexonY",6
"SantiagoSMARTS",6
"SantoDomingoSMARTS",6
"SawyerJulieL",6
"SecheStephenA",6
"ShapiroAndrewJ",6
"ShrierJonathan",6
"SidereasEvyenia",6
"SincavageJustineM",6
"StockAnn",6
"SullivanJacobHumaAbedin",6
"TuckerBeyNicolaT",6
"TuellerMatthewH",6
"VallianiAmira",6
"WallerRobertP",6
"WebsterChristopherW",6
"WeltonDonnaA",6
"WhiteThomasJ",6
"WilsonAntoinette",6
"WittenSamuelM",6
"WittesTamaraC",6
"WrightJessicaN",6
"xHaitiFileMail",6
"YzaguirreRaulH",6
"ZeyaUzraS",6
"AbedinHurna",5
"AltoHaywardM",5
"AmerIbtisam",5
"AmselemWLewis",5
"AshNazaninS",5
"BakerHolliC",5
"BarksRugglesErica",5
"BaxterShawn",5
"BeighleyPaulS",5
"BiomeDonaldA",5
"BosshardtMarciaP",5
"BoswellEricJ",5
"BreedenPhilipX",5
"ButlerLeJuanA",5
"CAStaffersMailbox",5
"CherylDMills",5
"CherylMillsl",5
"ConklinMaeganL",5
"ConnellyMaura",5
"CrowleyKathleen",5
"DanielJoshua",5
"DeeksAshleyS",5
"DewanLindaL",5
"DiminucoStevenL",5
"DingerLarryM",5
"EinhornRobert",5
"EnsorDavidB",5
"FinneyClarenceN",5
"FitchSusanM",5
"FriedDaniel",5
"GrayEugene",5
"GrayGordon",5
"HardySharonL",5
"HarhighJenniferA",5
"HarrellPeterE",5
"HarrisJacquelineA",5
"HaslachPatriciaM",5
"HawkinsJeffrey",5
"HegendorferDarylR",5
"HoltzGretaC",5
"iCherylMills",5
"iSullivanJacob",5
"JacobsGaryM",5
"JulianaPaesDeCastro",5
"KeaysMichaelC",5
"KeenKenLTGUSAUSSOUTHCOM/SCCC",5
"KimYuri",5
"KLEMENTStephan",5
"KumarPremG",5
"LailaKesyaTavaresDeLima",5
"LalisaFroederDittrich",5
"LangAlan",5
"LibbyMarkW",5
"LittlejohnJR",5
"LoweMatthewD",5
"LurieMikeD",5
"MaclnnesDuncanH",5
"MarcheseGregoryM",5
"MaxwellRaymondD",5
"MayerPaul",5
"MayKinW",5
"MeierEdwardF",5
"MeiRichard",5
"MellottWilliamI",5
"MerrillNicholasS",5
"MEXICOCITYSMARTS",5
"muscatinel@stategov",5
"NanavattyKatharineBernsohn",5
"NasrSVailR",5
"NEWSCA",5
"NosselSuzanneF",5
"PerlaLaura",5
"PlowdenMarisaL",5
"PorterMarcR",5
"preinesSullivanJacob",5
"psolisdoyle",5
"QuamLoisE",5
"RamamurthyPradeep",5
"RandDafnaH",5
"RatneyMichaelA",5
"ReinesPhilippe",5
"RickGarcia",5
"sbwhoeop",5
"SchwartzEricP",5
"SES_OS",5
"SESO_ShIftII",5
"SESO_Shiftl",5
"ShoemakerMarleneS",5
"SiekmanKelly",5
"SimonJessicaL",5
"SSRAPStaffAssistants",5
"StellaFreitasChamarelli",5
"StremlauMatthewH",5
"SullivanJacob]",5
"TejparAmiraliI",5
"TovNF@stategov",5
"ValmoroU@stategovi",5
"WaserTamirG",5
"WheelerChelsia",5
"WoytovechSuzonneM",5
"YatesMaryC",5
"AlfordEdwardM",4
"AlvaradoVictoriaA",4
"ArvizuAlexA",4
"AshrafMadeehaS",4
"BakshiAmar",4
"BassJohnR",4
"BassWarren",4
"BealeCourtneyAKramer",4
"BentonCherylA",4
"BorisJohnJ",4
"BoswellEric",4
"BoyerSpencerP",4
"BRIDGETOWNSMARTS",4
"BridgettJonesSundaaA",4
"BrigetyReuben",4
"BrownfieldWilliamR",4
"BrownPaulA",4
"ButtonCase",4
"CAOCSDuty",4
"CarrieThompson",4
"CarterPhillipX",4
"CastilloRaymondA",4
"ChoiSungW",4
"Christina_TchenJacobsJaniceL",4
"ColemanCL@stategov",4
"ConlonStevenM",4
"CookNerissa",4
"CrosbyColinT",4
"DanaHyde",4
"DanFeldman",4
"DaniesJoelD",4
"DaveyJessicaM",4
"DavidowJeffreyS",4
"DavidsonMarkJ",4
"DCCNNHILL",4
"DCSeven",4
"DonnellyKurtD",4
"DonovanJosephR",4
"EikenberryKarlW",4
"EinhornRobertJ",4
"FernandezJoseW",4
"FlemingJohnT",4
"FordRobertS",4
"FriedmanDaniel",4
"FriedrichMaryK",4
"GardnerSteve",4
"GentStephanieR",4
"GEORGETOWNSMARTS",4
"GhoriSabaN",4
"GreeneRichardL",4
"GrencikTheresaA",4
"Hagar_H_HajjarDSIPNEA",4
"HarrisBrianF",4
"HeffernJohnA",4
"HoodJoeyR",4
"HRC",4
"iSullivanJacobi",4
"JamieKelley",4
"JamisonLindaS",4
"JohnsonEricA",4
"jpiercy",4
"KalmbachHeatherE",4
"KennedyJChristian",4
"KimYuriJ",4
"KormanSamuelI",4
"Laurenjilot",4
"Laurenjiloty",4
"LaurenJiloty",4
"LeBaronRichardB",4
"LeMonChristopher",4
"LiptonDavidA",4
"LissaMuscatine",4
"LohmanLee",4
"lSullivanJacob",4
"LuckeLewis",4
"MacInnesDuncanH",4
"MacrayRosemaryR",4
"MacWaftersMichaelE",4
"MakelyEmilyJ",4
"mchaleja@stategov",4
"MeiningerLaurie",4
"MimnaughMaureen",4
"mon",4
"monicahanleyHumaAbedin",4
"mvwcarpenter",4
"NagyEleanor",4
"neaduty@stategov",4
"NEWSPakistan",4
"NEWSSCT",4
"NoraToiv",4
"OSLOSMARTS",4
"PallyMauraM",4
"PelofskyEricJ",4
"PforzheimerAnnie",4
"PhilippeReines",4
"PilzAmandaC",4
"PowellNancyJ",4
"RandolphLawrenceM",4
"RasmussenEric",4
"RiedCurtisR",4
"RothRichardA",4
"RoyNishant",4
"RubinEricS",4
"S_SpecialAssIstants",4
"SavageCaroline",4
"SchedlbauerAmyW",4
"SchwartzLarryR/PPR",4
"ScottRobertK",4
"SESLine_UNGA",4
"SESO_ShiftHI",4
"SESO_ShIftI",4
"ShapiroJeremy",4
"SieversMarcJ",4
"SimonJenniferJ",4
"SimpsonMordicaM",4
"SinghVikramLenderkingTimothyA",4
"SmithEileenW",4
"SmithElizabethS",4
"StrausBeverly",4
"StrobeTalbott",4
"SullivanJacob_I",4
"SullivanJacobUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",4
"SundwallGavinA",4
"SWO",4
"TaskForceHonduras",4
"tkrinvic",4
"TorresSusan",4
"TurkDavid",4
"TurnerScott",4
"WallesJacob",4
"WalshMatthewP",4
"WycoffKarlE",4
"YoungMadelinaM",4
"ZareskiKarenB",4
"AbdallaAlyceN",3
"AbedinH@stategov",3
"ALGIERSSMARTS",3
"AndersonRogerW",3
"AndradeCatherineF",3
"AndrewsTheodoreH",3
"AshDeborahJ",3
"AyresAlyssa",3
"balderstonkm@stategov",3
"BartelsKatharineV",3
"BeckerJohnP",3
